Date,TimeSlot,TimeRange,Node,VehicleType,Vehicle,Frequency,PCU,Direction
09/06/2026,Morning,(7:00-7:15 am),A,Motorized,PrivateCar,0,1,
09/06/2026,Morning,(7:00-7:15 am),A,Motorized,AutoRickshaw,105,0.44,
09/06/2026,Morning,(7:00-7:15 am),A,Motorized,MotorBike,17,0.2,
09/06/2026,Morning,(7:00-7:15 am),A,Motorized,Leguna,0,0.93,
09/06/2026,Morning,(7:00-7:15 am),A,Motorized,CNG,0,0.45,
09/06/2026,Morning,(7:00-7:15 am),A,Motorized,Truck,1,2,
09/06/2026,Morning,(7:00-7:15 am),B,Motorized,PrivateCar,10,1,
09/06/2026,Morning,(7:00-7:15 am),B,Motorized,AutoRickshaw,223,0.44,
09/06/2026,Morning,(7:00-7:15 am),B,Motorized,MotorBike,60,0.2,
09/06/2026,Morning,(7:00-7:15 am),B,Motorized,Leguna,1,0.93,
09/06/2026,Morning,(7:00-7:15 am),B,Motorized,CNG,3,0.45,
09/06/2026,Morning,(7:00-7:15 am),B,Motorized,Truck,2,2,
09/06/2026,Morning,(7:00-7:15 am),C,Motorized,PrivateCar,25,1,
09/06/2026,Morning,(7:00-7:15 am),C,Motorized,AutoRickshaw,212,0.44,
09/06/2026,Morning,(7:00-7:15 am),C,Motorized,MotorBike,47,0.2,
09/06/2026,Morning,(7:00-7:15 am),C,Motorized,Leguna,3,0.93,
09/06/2026,Morning,(7:00-7:15 am),C,Motorized,CNG,9,0.45,
09/06/2026,Morning,(7:00-7:15 am),C,Motorized,Truck,3,2,
09/06/2026,Morning,(7:00-7:15 am),A,NonMotorized,ManualRickshaw,10,0.27,
09/06/2026,Morning,(7:00-7:15 am),A,NonMotorized,Van,1,0.5,
09/06/2026,Morning,(7:00-7:15 am),A,NonMotorized,Bicycle,0,0.14,
9/06/2026,Morning,(7:00-7:15 am),B,NonMotorized,ManualRickshaw,20,0.27,
9/06/2026,Morning,(7:00-7:15 am),B,NonMotorized,Van,1,0.5,
9/06/2026,Morning,(7:00-7:15 am),B,NonMotorized,Bicycle,0,0.14,
09/06/2026,Morning,(7:00-7:15 am),C,NonMotorized,ManualRickshaw,43,0.27,
09/06/2026,Morning,(7:00-7:15 am),C,NonMotorized,Van,2,0.5,
09/06/2026,Morning,(7:00-7:15 am),C,NonMotorized,Bicycle,0,0.14,
20/04/2026,MidMorning,(10:56-11:13 am),A,Motorized,PrivateCar,11,1,
20/04/2026,MidMorning,(10:56-11:13 am),A,Motorized,AutoRickshaw,140,0.44,
20/04/2026,MidMorning,(10:56-11:13 am),A,Motorized,MotorBike,15,0.2,
20/04/2026,MidMorning,(10:56-11:13 am),A,Motorized,Leguna,7,0.93,
20/04/2026,MidMorning,(10:56-11:13 am),A,Motorized,CNG,0,0.45,
20/04/2026,MidMorning,(10:56-11:13 am),A,Motorized,Truck,7,2,
08/06/2026,MidMorning,(11:00-11:15 am),B,Motorized,PrivateCar,13,1,
08/06/2026,MidMorning,(11:00-11:15 am),B,Motorized,AutoRickshaw,71,0.44,
08/06/2026,MidMorning,(11:00-11:15 am),B,Motorized,MotorBike,17,0.2,
08/06/2026,MidMorning,(11:00-11:15 am),B,Motorized,Leguna,0,0.93,
08/06/2026,MidMorning,(11:00-11:15 am),B,Motorized,CNG,2,0.45,
08/06/2026,MidMorning,(11:00-11:15 am),B,Motorized,Truck,4,2,
08/06/2026,MidMorning,(11:06-11:21 am),C,Motorized,PrivateCar,7,1,
08/06/2026,MidMorning,(11:06-11:21 am),C,Motorized,AutoRickshaw,343,0.44,
08/06/2026,MidMorning,(11:06-11:21 am),C,Motorized,MotorBike,13,0.2,
08/06/2026,MidMorning,(11:06-11:21 am),C,Motorized,Leguna,2,0.93,
08/06/2026,MidMorning,(11:06-11:21 am),C,Motorized,CNG,2,0.45,
08/06/2026,MidMorning,(11:06-11:21 am),C,Motorized,Truck,3,2,
20/04/2026,MidMorning,(11:00-11:15 am),A,NonMotorized,ManualRickshaw,24,0.27,
20/04/2026,MidMorning,(11:00-11:15 am),A,NonMotorized,Van,7,0.5,
20/04/2026,MidMorning,(11:00-11:15 am),A,NonMotorized,Bicycle,2,0.14,
08/06/2026,MidMorning,(11:00-11:15 am),B,NonMotorized,ManualRickshaw,6,0.27,
08/06/2026,MidMorning,(11:00-11:15 am),B,NonMotorized,Van,1,0.5,
08/06/2026,MidMorning,(11:00-11:15 am),B,NonMotorized,Bicycle,0,0.14,
08/06/2026,MidMorning,(11:00-11:15 am),C,NonMotorized,ManualRickshaw,26,0.27,
08/06/2026,MidMorning,(11:00-11:15 am),C,NonMotorized,Van,1,0.5,
08/06/2026,MidMorning,(11:00-11:15 am),C,NonMotorized,Bicycle,2,0.14,
20/04/2026,Evening,(4:30-4:45 pm),A,Motorized,PrivateCar,12,1,
20/04/2026,Evening,(4:30-4:45 pm),A,Motorized,AutoRickshaw,202,0.44,
20/04/2026,Evening,(4:30-4:45 pm),A,Motorized,MotorBike,17,0.2,
20/04/2026,Evening,(4:30-4:45 pm),A,Motorized,Leguna,4,0.93,
20/04/2026,Evening,(4:30-4:45 pm),A,Motorized,CNG,8,0.45,
20/04/2026,Evening,(4:30-4:45 pm),A,Motorized,Truck,9,2,
23/04/2026,Evening,(4:30-4:45 pm),B,Motorized,PrivateCar,8,1,
23/04/2026,Evening,(4:30-4:45 pm),B,Motorized,AutoRickshaw,105,0.44,
23/04/2026,Evening,(4:30-4:45 pm),B,Motorized,MotorBike,7,0.2,
23/04/2026,Evening,(4:30-4:45 pm),B,Motorized,Leguna,0,0.93,
23/04/2026,Evening,(4:30-4:45 pm),B,Motorized,CNG,1,0.45,
23/04/2026,Evening,(4:30-4:45 pm),B,Motorized,Truck,2,2,
22/04/2026,Evening,(4:30-4:45 pm),C,Motorized,PrivateCar,8,1,
22/04/2026,Evening,(4:30-4:45 pm),C,Motorized,AutoRickshaw,165,0.44,
22/04/2026,Evening,(4:30-4:45 pm),C,Motorized,MotorBike,23,0.2,
22/04/2026,Evening,(4:30-4:45 pm),C,Motorized,Leguna,1,0.93,
22/04/2026,Evening,(4:30-4:45 pm),C,Motorized,CNG,4,0.45,
22/04/2026,Evening,(4:30-4:45 pm),C,Motorized,Truck,6,2,
20/04/2026,Evening,(4:30-4:45 pm),A,NonMotorized,ManualRickshaw,28,0.27,
20/04/2026,Evening,(4:30-4:45 pm),A,NonMotorized,Van,3,0.5,
20/04/2026,Evening,(4:30-4:45 pm),A,NonMotorized,Bicycle,0,0.14,
23/04/2026,Evening,(4:30-4:45 pm),B,NonMotorized,ManualRickshaw,13,0.27,
23/04/2026,Evening,(4:30-4:45 pm),B,NonMotorized,Van,10,0.5,
23/04/2026,Evening,(4:30-4:45 pm),B,NonMotorized,Bicycle,2,0.14,
22/04/2026,Evening,(4:30-4:45 pm),C,NonMotorized,ManualRickshaw,38,0.27,
22/04/2026,Evening,(4:30-4:45 pm),C,NonMotorized,Van,1,0.5,
22/04/2026,Evening,(4:30-4:45 pm),C,NonMotorized,Bicycle,7,0.14,
