Node,TimeSlot,VehicleType,Vehicle,Frequency,PCU,Total_PCU
A,Evening,Motorized,AutoRickshaw,202,0.44,88.88
A,Evening,Motorized,AutoRickshaw,8,0.45,3.6
A,Evening,Motorized,Leguna,4,0.93,3.72
A,Evening,Motorized,MotorBike,17,0.2,3.4000000000000004
A,Evening,Motorized,PrivateCar,12,1.0,12.0
A,Evening,Motorized,Truck,9,2.0,18.0
A,Evening,NonMotorized,Bicycle,0,0.14,0.0
A,Evening,NonMotorized,ManualRickshaw,28,0.27,7.5600000000000005
A,Evening,NonMotorized,Van,3,0.5,1.5
A,MidMorning,Motorized,AutoRickshaw,140,0.44,61.6
A,MidMorning,Motorized,AutoRickshaw,0,0.45,0.0
A,MidMorning,Motorized,Leguna,7,0.93,6.510000000000001
A,MidMorning,Motorized,MotorBike,15,0.2,3.0
A,MidMorning,Motorized,PrivateCar,11,1.0,11.0
A,MidMorning,Motorized,Truck,7,2.0,14.0
A,MidMorning,NonMotorized,Bicycle,2,0.14,0.28
A,MidMorning,NonMotorized,ManualRickshaw,24,0.27,6.48
A,MidMorning,NonMotorized,Van,7,0.5,3.5
A,Morning,Motorized,AutoRickshaw,105,0.44,46.2
A,Morning,Motorized,AutoRickshaw,0,0.45,0.0
A,Morning,Motorized,Leguna,0,0.93,0.0
A,Morning,Motorized,MotorBike,17,0.2,3.4000000000000004
A,Morning,Motorized,PrivateCar,0,1.0,0.0
A,Morning,Motorized,Truck,1,2.0,2.0
A,Morning,NonMotorized,Bicycle,0,0.14,0.0
A,Morning,NonMotorized,ManualRickshaw,10,0.27,2.7
A,Morning,NonMotorized,Van,1,0.5,0.5
B,Evening,Motorized,AutoRickshaw,105,0.44,46.2
B,Evening,Motorized,AutoRickshaw,1,0.45,0.45
B,Evening,Motorized,Leguna,0,0.93,0.0
B,Evening,Motorized,MotorBike,7,0.2,1.4000000000000001
B,Evening,Motorized,PrivateCar,8,1.0,8.0
B,Evening,Motorized,Truck,2,2.0,4.0
B,Evening,NonMotorized,Bicycle,2,0.14,0.28
B,Evening,NonMotorized,ManualRickshaw,13,0.27,3.5100000000000002
B,Evening,NonMotorized,Van,10,0.5,5.0
B,MidMorning,Motorized,AutoRickshaw,71,0.44,31.24
B,MidMorning,Motorized,AutoRickshaw,2,0.45,0.9
B,MidMorning,Motorized,Leguna,0,0.93,0.0
B,MidMorning,Motorized,MotorBike,17,0.2,3.4000000000000004
B,MidMorning,Motorized,PrivateCar,13,1.0,13.0
B,MidMorning,Motorized,Truck,4,2.0,8.0
B,MidMorning,NonMotorized,Bicycle,0,0.14,0.0
B,MidMorning,NonMotorized,ManualRickshaw,6,0.27,1.62
B,MidMorning,NonMotorized,Van,1,0.5,0.5
B,Morning,Motorized,AutoRickshaw,223,0.44,98.12
B,Morning,Motorized,AutoRickshaw,3,0.45,1.35
B,Morning,Motorized,Leguna,1,0.93,0.93
B,Morning,Motorized,MotorBike,60,0.2,12.0
B,Morning,Motorized,PrivateCar,10,1.0,10.0
B,Morning,Motorized,Truck,2,2.0,4.0
B,Morning,NonMotorized,Bicycle,0,0.14,0.0
B,Morning,NonMotorized,ManualRickshaw,20,0.27,5.4
B,Morning,NonMotorized,Van,1,0.5,0.5
C,Evening,Motorized,AutoRickshaw,165,0.44,72.6
C,Evening,Motorized,AutoRickshaw,4,0.45,1.8
C,Evening,Motorized,Leguna,1,0.93,0.93
C,Evening,Motorized,MotorBike,23,0.2,4.6000000000000005
C,Evening,Motorized,PrivateCar,8,1.0,8.0
C,Evening,Motorized,Truck,6,2.0,12.0
C,Evening,NonMotorized,Bicycle,7,0.14,0.9800000000000001
C,Evening,NonMotorized,ManualRickshaw,38,0.27,10.260000000000002
C,Evening,NonMotorized,Van,1,0.5,0.5
C,MidMorning,Motorized,AutoRickshaw,343,0.44,150.92
C,MidMorning,Motorized,AutoRickshaw,2,0.45,0.9
C,MidMorning,Motorized,Leguna,2,0.93,1.86
C,MidMorning,Motorized,MotorBike,13,0.2,2.6
C,MidMorning,Motorized,PrivateCar,7,1.0,7.0
C,MidMorning,Motorized,Truck,3,2.0,6.0
C,MidMorning,NonMotorized,Bicycle,2,0.14,0.28
C,MidMorning,NonMotorized,ManualRickshaw,26,0.27,7.0200000000000005
C,MidMorning,NonMotorized,Van,1,0.5,0.5
C,Morning,Motorized,AutoRickshaw,212,0.44,93.28
C,Morning,Motorized,AutoRickshaw,9,0.45,4.05
C,Morning,Motorized,Leguna,3,0.93,2.79
C,Morning,Motorized,MotorBike,47,0.2,9.4
C,Morning,Motorized,PrivateCar,25,1.0,25.0
C,Morning,Motorized,Truck,3,2.0,6.0
C,Morning,NonMotorized,Bicycle,0,0.14,0.0
C,Morning,NonMotorized,ManualRickshaw,43,0.27,11.610000000000001
C,Morning,NonMotorized,Van,2,0.5,1.0
