Node,TimeSlot,VehicleType,Vehicle,Frequency
A,Evening,Motorized,AutoRickshaw,202
A,Evening,Motorized,CNG,8
A,Evening,Motorized,Leguna,4
A,Evening,Motorized,MotorBike,17
A,Evening,Motorized,PrivateCar,12
A,Evening,Motorized,Truck,9
A,Evening,NonMotorized,Bicycle,0
A,Evening,NonMotorized,ManualRickshaw,28
A,Evening,NonMotorized,Van,3
A,MidMorning,Motorized,AutoRickshaw,140
A,MidMorning,Motorized,CNG,0
A,MidMorning,Motorized,Leguna,7
A,MidMorning,Motorized,MotorBike,15
A,MidMorning,Motorized,PrivateCar,11
A,MidMorning,Motorized,Truck,7
A,MidMorning,NonMotorized,Bicycle,2
A,MidMorning,NonMotorized,ManualRickshaw,24
A,MidMorning,NonMotorized,Van,7
A,Morning,Motorized,AutoRickshaw,105
A,Morning,Motorized,CNG,0
A,Morning,Motorized,Leguna,0
A,Morning,Motorized,MotorBike,17
A,Morning,Motorized,PrivateCar,0
A,Morning,Motorized,Truck,1
A,Morning,NonMotorized,Bicycle,0
A,Morning,NonMotorized,ManualRickshaw,10
A,Morning,NonMotorized,Van,1
B,Evening,Motorized,AutoRickshaw,105
B,Evening,Motorized,CNG,1
B,Evening,Motorized,Leguna,0
B,Evening,Motorized,MotorBike,7
B,Evening,Motorized,PrivateCar,8
B,Evening,Motorized,Truck,2
B,Evening,NonMotorized,Bicycle,2
B,Evening,NonMotorized,ManualRickshaw,13
B,Evening,NonMotorized,Van,10
B,MidMorning,Motorized,AutoRickshaw,71
B,MidMorning,Motorized,CNG,2
B,MidMorning,Motorized,Leguna,0
B,MidMorning,Motorized,MotorBike,17
B,MidMorning,Motorized,PrivateCar,13
B,MidMorning,Motorized,Truck,4
B,MidMorning,NonMotorized,Bicycle,0
B,MidMorning,NonMotorized,ManualRickshaw,6
B,MidMorning,NonMotorized,Van,1
B,Morning,Motorized,AutoRickshaw,223
B,Morning,Motorized,CNG,3
B,Morning,Motorized,Leguna,1
B,Morning,Motorized,MotorBike,60
B,Morning,Motorized,PrivateCar,10
B,Morning,Motorized,Truck,2
B,Morning,NonMotorized,Bicycle,0
B,Morning,NonMotorized,ManualRickshaw,20
B,Morning,NonMotorized,Van,1
C,Evening,Motorized,AutoRickshaw,165
C,Evening,Motorized,CNG,4
C,Evening,Motorized,Leguna,1
C,Evening,Motorized,MotorBike,23
C,Evening,Motorized,PrivateCar,8
C,Evening,Motorized,Truck,6
C,Evening,NonMotorized,Bicycle,7
C,Evening,NonMotorized,ManualRickshaw,38
C,Evening,NonMotorized,Van,1
C,MidMorning,Motorized,AutoRickshaw,343
C,MidMorning,Motorized,CNG,2
C,MidMorning,Motorized,Leguna,2
C,MidMorning,Motorized,MotorBike,13
C,MidMorning,Motorized,PrivateCar,7
C,MidMorning,Motorized,Truck,3
C,MidMorning,NonMotorized,Bicycle,2
C,MidMorning,NonMotorized,ManualRickshaw,26
C,MidMorning,NonMotorized,Van,1
C,Morning,Motorized,AutoRickshaw,212
C,Morning,Motorized,CNG,9
C,Morning,Motorized,Leguna,3
C,Morning,Motorized,MotorBike,47
C,Morning,Motorized,PrivateCar,25
C,Morning,Motorized,Truck,3
C,Morning,NonMotorized,Bicycle,0
C,Morning,NonMotorized,ManualRickshaw,43
C,Morning,NonMotorized,Van,2
