Node,TimeSlot,VehicleType,Vehicle,Total_PCU
A,Evening,Motorized,AutoRickshaw,92.47999999999999
A,Evening,Motorized,Leguna,3.72
A,Evening,Motorized,MotorBike,3.4000000000000004
A,Evening,Motorized,PrivateCar,12.0
A,Evening,Motorized,Truck,18.0
A,Evening,NonMotorized,Bicycle,0.0
A,Evening,NonMotorized,ManualRickshaw,7.56
A,Evening,NonMotorized,Van,1.5
A,MidMorning,Motorized,AutoRickshaw,61.6
A,MidMorning,Motorized,Leguna,6.510000000000001
A,MidMorning,Motorized,MotorBike,3.0
A,MidMorning,Motorized,PrivateCar,11.0
A,MidMorning,Motorized,Truck,14.0
A,MidMorning,NonMotorized,Bicycle,0.28
A,MidMorning,NonMotorized,ManualRickshaw,6.48
A,MidMorning,NonMotorized,Van,3.5
A,Morning,Motorized,AutoRickshaw,46.2
A,Morning,Motorized,Leguna,0.0
A,Morning,Motorized,MotorBike,3.4000000000000004
A,Morning,Motorized,PrivateCar,0.0
A,Morning,Motorized,Truck,2.0
A,Morning,NonMotorized,Bicycle,0.0
A,Morning,NonMotorized,ManualRickshaw,2.7
A,Morning,NonMotorized,Van,0.5
B,Evening,Motorized,AutoRickshaw,46.650000000000006
B,Evening,Motorized,Leguna,0.0
B,Evening,Motorized,MotorBike,1.4
B,Evening,Motorized,PrivateCar,8.0
B,Evening,Motorized,Truck,4.0
B,Evening,NonMotorized,Bicycle,0.28
B,Evening,NonMotorized,ManualRickshaw,3.51
B,Evening,NonMotorized,Van,5.0
B,MidMorning,Motorized,AutoRickshaw,32.14
B,MidMorning,Motorized,Leguna,0.0
B,MidMorning,Motorized,MotorBike,3.4000000000000004
B,MidMorning,Motorized,PrivateCar,13.0
B,MidMorning,Motorized,Truck,8.0
B,MidMorning,NonMotorized,Bicycle,0.0
B,MidMorning,NonMotorized,ManualRickshaw,1.62
B,MidMorning,NonMotorized,Van,0.5
B,Morning,Motorized,AutoRickshaw,99.47
B,Morning,Motorized,Leguna,0.93
B,Morning,Motorized,MotorBike,12.0
B,Morning,Motorized,PrivateCar,10.0
B,Morning,Motorized,Truck,4.0
B,Morning,NonMotorized,Bicycle,0.0
B,Morning,NonMotorized,ManualRickshaw,5.4
B,Morning,NonMotorized,Van,0.5
C,Evening,Motorized,AutoRickshaw,74.39999999999999
C,Evening,Motorized,Leguna,0.93
C,Evening,Motorized,MotorBike,4.6000000000000005
C,Evening,Motorized,PrivateCar,8.0
C,Evening,Motorized,Truck,12.0
C,Evening,NonMotorized,Bicycle,0.98
C,Evening,NonMotorized,ManualRickshaw,10.260000000000002
C,Evening,NonMotorized,Van,0.5
C,MidMorning,Motorized,AutoRickshaw,151.82
C,MidMorning,Motorized,Leguna,1.86
C,MidMorning,Motorized,MotorBike,2.6
C,MidMorning,Motorized,PrivateCar,7.0
C,MidMorning,Motorized,Truck,6.0
C,MidMorning,NonMotorized,Bicycle,0.28
C,MidMorning,NonMotorized,ManualRickshaw,7.0200000000000005
C,MidMorning,NonMotorized,Van,0.5
C,Morning,Motorized,AutoRickshaw,97.33
C,Morning,Motorized,Leguna,2.79
C,Morning,Motorized,MotorBike,9.4
C,Morning,Motorized,PrivateCar,25.0
C,Morning,Motorized,Truck,6.0
C,Morning,NonMotorized,Bicycle,0.0
C,Morning,NonMotorized,ManualRickshaw,11.61
C,Morning,NonMotorized,Van,1.0
