Node,TimeSlot,Vehicle,Speed
A,Evening,AutoRickshaw,5.891727123
A,Evening,ManualRickshaw,3.8018358026666665
A,Evening,MotorBike,8.937368571499999
A,Evening,PrivateCar,6.210526316
A,MidMorning,AutoRickshaw,9.0896061105
A,MidMorning,Leguna,22.90682579
A,MidMorning,ManualRickshaw,9.7610197895
A,MidMorning,MotorBike,12.91138197
A,MidMorning,PrivateCar,12.810699085
A,Morning,AutoRickshaw,11.68399693
A,Morning,Bicycle,25.090272325
A,Morning,ManualRickshaw,11.511297675000002
A,Morning,MotorBike,19.24865474
B,Evening,AutoRickshaw,10.221314052
B,Evening,ManualRickshaw,11.92995099
B,Evening,MotorBike,12.46435845
B,Evening,PrivateCar,9.097398998000001
B,MidMorning,AutoRickshaw,4.077407741
B,MidMorning,ManualRickshaw,10.425618962
B,MidMorning,MotorBike,5.0560924525
B,MidMorning,PrivateCar,6.185465792
C,Evening,AutoRickshaw,16.861364593333334
C,Evening,Leguna,12.771403451333335
C,Evening,ManualRickshaw,13.43195926
C,Evening,MotorBike,18.73377563
C,Evening,PrivateCar,14.288773370000001
C,MidMorning,AutoRickshaw,5.8865568025
C,MidMorning,Leguna,7.407242292
C,MidMorning,MotorBike,13.52029571
C,MidMorning,PrivateCar,4.0301295545
C,Morning,AutoRickshaw,18.819331765
C,Morning,ManualRickshaw,15.64832041
C,Morning,MotorBike,19.651065199999998
C,Morning,PrivateCar,24.62707838
