Node,TimeSlot,Vehicle,Speed
A,Evening,AutoRickshaw,6.76217765
A,Evening,AutoRickshaw,5.021276596
A,Evening,ManualRickshaw,4.738955823
A,Evening,ManualRickshaw,3.089005236
A,Evening,ManualRickshaw,3.577546349
A,Evening,MotorBike,9.719934102
A,Evening,MotorBike,8.154803041
A,Evening,PrivateCar,6.210526316
A,MidMorning,AutoRickshaw,7.716115261
A,MidMorning,AutoRickshaw,10.46309696
A,MidMorning,Leguna,33.31797235
A,MidMorning,Leguna,12.49567923
A,MidMorning,ManualRickshaw,8.045849099
A,MidMorning,ManualRickshaw,11.47619048
A,MidMorning,MotorBike,11.76183504
A,MidMorning,MotorBike,11.6350177
A,MidMorning,MotorBike,15.33729317
A,MidMorning,PrivateCar,13.00359712
A,MidMorning,PrivateCar,12.61780105
A,Morning,AutoRickshaw,12.29230769
A,Morning,AutoRickshaw,11.07568617
A,Morning,Bicycle,29.15422886
A,Morning,Bicycle,21.02631579
A,Morning,ManualRickshaw,11.09722222
A,Morning,ManualRickshaw,11.92537313
A,Morning,MotorBike,18.87550201
A,Morning,MotorBike,19.62180747
B,Evening,AutoRickshaw,10.91881858
B,Evening,AutoRickshaw,9.523809524
B,Evening,ManualRickshaw,11.91728006
B,Evening,ManualRickshaw,11.47137218
B,Evening,ManualRickshaw,12.40120073
B,Evening,MotorBike,12.46435845
B,Evening,PrivateCar,7.584207004
B,Evening,PrivateCar,9.14716169
B,Evening,PrivateCar,10.5608283
B,MidMorning,AutoRickshaw,4.077407741
B,MidMorning,ManualRickshaw,9.156626506
B,MidMorning,ManualRickshaw,5.96112311
B,MidMorning,ManualRickshaw,16.15910727
B,MidMorning,MotorBike,5.135135135
B,MidMorning,MotorBike,4.97704977
B,MidMorning,PrivateCar,6.185465792
B,Morning,,
C,Evening,AutoRickshaw,16.42238648
C,Evening,AutoRickshaw,17.033954
C,Evening,AutoRickshaw,17.1277533
C,Evening,Leguna,12.78421702
C,Evening,Leguna,8.496039334
C,Evening,Leguna,17.033954
C,Evening,ManualRickshaw,12.53688029
C,Evening,ManualRickshaw,14.32703823
C,Evening,MotorBike,22.5065123
C,Evening,MotorBike,14.96103896
C,Evening,PrivateCar,14.83261803
C,Evening,PrivateCar,15.92626728
C,Evening,PrivateCar,12.1074348
C,MidMorning,AutoRickshaw,3.923181818
C,MidMorning,AutoRickshaw,7.849931787
C,MidMorning,Leguna,3.384705882
C,MidMorning,Leguna,7.849931787
C,MidMorning,Leguna,7.060122699
C,MidMorning,Leguna,11.3342088
C,MidMorning,MotorBike,12.59540314
C,MidMorning,MotorBike,14.44518828
C,MidMorning,PrivateCar,3.634105263
C,MidMorning,PrivateCar,4.426153846
C,Morning,AutoRickshaw,18.79368536
C,Morning,AutoRickshaw,18.84497817
C,Morning,ManualRickshaw,15.22222222
C,Morning,ManualRickshaw,16.0744186
C,Morning,MotorBike,17.35426009
C,Morning,MotorBike,21.94787031
C,Morning,PrivateCar,24.62707838
